Generated by programs/data.js
"Date when accessed","Date when double checked","Authors","Code in repository uses assertions","Evaluator's notes about code","Code in repository uses pre- or post-conditions or similar","URL (typically GitHub) for code repository","Has a repo, and executable code has been commented out","Evaluator's notes about data","DOI","Set to an error string if needed","Paper breaches journal code policy (see section~\ref{supplementary-journal-policies-section})","Paper says source code is available in principle","Journal has a code policy (see section~\ref{supplementary-journal-policies-section})","Paper uses a code repository (e.g., GitHub)","Evidence that source code has been run with a clean build and tested","Paper uses a data repository (e.g., Dryad, Figshare, GitHub)","Evidence that source code was developed rigorously","Paper or URL provides source code","Code repository contains no code","Helpful comments explaining code intent, rather than rephrasing the code","No code available at all (note: code is not expected for standard models, systems or statistical methods)","Code only has trivial or obvious comments","Team or open source development","Other evidence of good practice; see details in summary table","Use of RAP/RAP* principles","Code has substantial, useful comments, and documentation","Evidence of any tool-based development","Code only has comments unrelated to code intent (e.g., copyright)","Journal","Issue number or identifier","Number of pages","Internal Latex citation identifier (needs to be unique, which is checked)","Title of paper","Volume","Year published"
"14 July 2020","17 January 2021","Choi D, Park JJ, Ali T, Lee S","","Trivial comments, no documentation.","","github.com/ubiquitous-computing-lab/AI-CDSS-Cardiovascular-Silo","1","``Not available due to restrictions in the ethical permit, but may be available on request.''","10.1038/s41746-020-0261-3","","","","1","1","","","","1","","","","","","","","","","1","Nature Digital Medicine","54","6","ref-10","Artificial intelligence for the diagnosis of heart failure","3","2020"
"14 July 2020","17 January 2021","Hilton CB, Milinovich A, Felix C, Vakharia N,  Crone T,  Donovan C, Proctor A, Nazha A","","``We used only free and open-source software'' --- some of which is unspecified.","","","","``The data that support the findings of this study are available in a deidentified form from Cleveland Clinic, but restrictions apply to the availability of these data, which were used under Cleveland Clinic data policies for the current study, and so are not publicly available.''","10.1038/s41746-020-0249-z","","1","","1","","","","","","","","1","","","","","","","","Nature Digital Medicine","51","8","ref-11","Personalized predictions of patient outcomes during and after hospitalization using artificial intelligence","3","2020"
"14 July 2020","19 January 2021","Li MD, Chang K, Bearce B, Chang BY, Huang AJ, Campbell JP, Brown JM, Singh P, Hoebel KV, Erdo{\u g}mu\c{s} D, Ioannidis S, Palmer W, Chiang MF, Kalpathy-Cramer J","","Not all code on GitHub, minor comments only.","","github.com/QTIM-Lab/SiameseChange","","``The i-ROP cohort study data for ROP is not publicly available due to patient privacy restrictions, though potential collaborators are directed to contact the study investigators \ldots''","10.1038/s41746-020-0255-1","","","","1","1","","","","1","","","","","","","","","","1","Nature Digital Medicine","48","9","ref-12","Siamese neural networks for continuous disease severity evaluation and change detection in medical imaging","3","2020"
"22 July 2020","26 January 2021","Hoffman JI, Nagel R, Litzke V, Wells DA, Amos W","","Code and example runs available in R Markdown.","","datadryad.org/stash/dataset/doi:10.5061/dryad.1g1jwstrw","","Data available on Dryad.","10.1098/rsos.200419","","","","1","","","1","","1","","","","","","","","1","","","Royal Society Open Science","200419","13","paper-usesRMarkdown","Genetic analysis of \emph{Boletus edulis\/} suggests that intra-specific competition may reduce local genetic diversity as a woodland ages","7","2020"
"22 July 2020","26 January 2021","Gr\""onquist P, Panchadcharam P, Wood D, Menges A, R\""uggeberg M, Wittel FK","","Basic Matlab with routine comments. Supplemental files Rsos192210supp1.docx and Rsos192210supp2.docx have links but were not accessible at time of double checking.","","royalsocietypublishing.org/doi/suppl/10.1098/rsos.192210","","Data directly written into program code.","10.1098/rsos.192210","","1","","1","","","","","1","","","","","","","","","","1","Royal Society Open Science","192210","9","ref-14","Computational analysis of hygromorphic self-shaping wood gridshell structures","7","2020"
"22 July 2020","26 January 2021","Amos W","","Code available for private view, though some code available with minor comments. Paper describes using two contrasting methods to help confirm correctness, ``As an additional check, I also coded the calculation of D based on a probabilistic approach, using genotype frequencies in each population to calculate the expected frequencies of each possible two-genotype combination (electronic supplementary material, table S1). Essentially identical results were obtained.'' --- but the contrasting method is not available.","","datadryad.org/stash/share/ichHKrWj7hqlznOaR6NQVzITgp40dlqWvWAgAxyafiQ","","Data available on Dryad plus publicly available data from the 1000 genomes project. Currently (apparently) for private view.","10.1098/rsos.191900","","","1","1","","","1","","","","1","","","","1","","","","","Royal Society Open Science","191900","9","onlyPaperWithChecks","Signals interpreted as archaic introgression appear to be driven primarily by faster evolution in Africa","7","2020"
"22 July 2020","26 January 2021","Gordon M, Viganola D, Bishop M, Chen Y, Dreber A, Goldfedder B, Holzmeister F, Johannesson M, Liu Y, Twardy C, Wang J, Pfeiffer T","","Reasonaby commented code on Dryad, but code is not complete and presumably never checked.","","royalsocietypublishing.org/doi/suppl/10.1098/rsos.200566","","Data available on Dryad.","10.1098/rsos.200566","","","1","1","","","1","","","","1","","","","","","","","","Royal Society Open Science","200566","7","ref-16","Are replication rates the same across academic fields? Community forecasts from the DARPA SCORE programme","7","2020"
"22 July 2020","26 January 2021","Evans D, Field AP","","R, lightly commented.","","osf.io/a5xsz/?view_only=87ae173f775b40d79d6cd0fdcf6d4a9c","","On request.","10.1098/rsos.200422","","","1","1","","","","","","","","","","","","","","","1","Royal Society Open Science","200422","20","ref-17","Predictors of mathematical attainment trajectories across the primary-to-secondary education transition: parental factors and the home environment","7","2020"
"22 July 2020","26 January 2021","Beale N, Battey H, Davison AC, MacKay RS","","Unrunnable incomplete code fragment.","","","","No data required.","10.1098/rsos.200462","","1","1","1","","","","","","","","","","","","","","","","Royal Society Open Science","200462","11","ethics-paper","An unethical optimization principle","7","2020"
"22 July 2020","26 January 2021","Cherevko AA, Gologush TS, Petrenko IA, Ostapenko VV, Panarin VA","","No code available.","","","","Data embedded in PDF.","10.1098/rsos.191992","","1","","1","","","","","","","","1","","","","","","","","Royal Society Open Science","191992","16","ref-19","Modelling of the arteriovenous malformation embolization optimal scenario","7","2020"
"22 July 2020","26 January 2021","Soczawa-Stronczyk AA, Bocian M","","Some comments, some code in Matlab.","","datadryad.org/stash/dataset/doi:10.5061/dryad.vx0k6djnr","","Data available on Dryad.","10.1098/rsos.200622","","","1","1","","","1","","","","1","","","","","","","","","Royal Society Open Science","200622","19","ref-20","Gait coordination in overground walking with a virtual reality avatar","7","2020"
"22 July 2020","26 January 2021","Duruz S, Vajana E, Burren A, Flury C, Joost S","","Documented R, including model's manual.","","github.com/SolangeD/lactModel","1","Partial data on Dryad.","10.1098/rsos.200638","","","","1","1","","1","","1","","","","","","","","1","","","Royal Society Open Science","200638","13","ref-21","Big dairy data to unravel effects of environmental, physiological and morphological factors on milk production of mountain-pastured Braunvieh cows","7","2020"
"22 July 2020","26 January 2021","de Azevedo EZD, Dantas DV, Daura-Jorge FG","","``We constructed a bioeconomic model for an RSSF [restricted fishing effort small-scale fishery] using game theory'' for which results are discussed, yet no code is available.","","","","No data required.","10.1098/rsos.200621","","1","","1","","","","","","","","1","","","","","","","","Royal Society Open Science","200621","11","ref-22","Risk tolerance and control perception in a game-theoretic bioeconomic model for small-scale fisheries","7","2020"
"22 July 2020","26 January 2021","Abdolhosseini-Qomi AM, Jafari SH, Taghizadeh A, Yazdani N, Asadpour M, Rahgozar M","","Trivial documentation.","","github.com/UT-NSG/LRM","1","Data cited, not all available.","10.1098/rsos.191928","","","","1","1","","","","1","","","","","","","","","","1","Royal Society Open Science","191928","22","ref-23","Link prediction in real-world multiplex networks via layer reconstruction method","7","2020"
"22 July 2020","26 January 2021","Webster J, Amos M","","On Figshare, large amount of disorganised and undocumented code. Helpful features to make usable for third parties.","","figshare.com/collections/Supplementary_information_for_Webster_J_and_Amos_M_A_Turing_Test_for_Crowds_/4859118/1","","On Figshare.","10.1098/rsos.200307","","","","1","","","1","","1","","","","","","","","","","1","Royal Society Open Science","200307","12","example-numerical-error","A Turing test for crowds","7","2020"
"22 July 2020","26 January 2021","Zhu Y-l, Wang C-J, Gao F, Xiao Z-x, Zhao P-l, Wang J-y","","No code available.","","","","Data on Dryad.","10.1098/rsos.191653","","1","","1","","","1","","","","","1","","","","","","","","Royal Society Open Science","191653","12","ref-25","Calculation on surface energy and electronic properties of CoS${}_2$","7","2020"
"22 July 2020","26 January 2021","Yu B, Scott CJ, Xue X, Yue X, Dou X","","No code available.","","","","Data on various web sites.","10.1098/rsos.200320","","1","","1","","","","","","","","1","","","","","","","","Royal Society Open Science","200320","15","ref-26","Derivation of global ionospheric Sporadic E critical frequency ($f_o$Es) data from the amplitude variations in GPS/GNSS radio occultations","7","2020"
"24 July 2020","26 January 2021","Joon-myoung K, Younghoon C, Ki-Hyun J, Soohyun C, Kyung-Hee K, Seung D B, Soomin J, Jinsik P, Byung-Hee O","","``The coding used to train the artificial intelligence model are dependent on annotation, infrastructure, and hardware, so cannot be released.'' (!) Algorithm (not source code) available on request.","","","","Data on request.","10.1016/S2589-7500(20)30108-4","","","","","","","","","","","","1","","","","","","","","Lancet Digital Health","7","9","ref-27","A deep learning algorithm to detect anaemia with ECGs: a retrospective, multicentre study","2","2020"
"24 July 2020","26 January 2021","Zhu H, Cheng C, Yin H, Li X, Zuo P, Ding J, Lin F, Wang J, Zhou B, Li Y, Hu S, Xiong Y, Wang B, Wan G, Yang X, Yuan Y","","Python scripts can be requested.","","","","Data on request.","10.1016/S2589-7500(20)30107-2","","","1","","","","","","","","","","","","","","","","","Lancet Digital Health","7","9","ref-28","Automatic multilabel electrocardiogram diagnosis of heart rhythm or conduction abnormalities with deep learning: a cohort study","2","2020"
"24 July 2020","26 January 2021","Fung R, Villar J, Dashti A, Ismail LC, Staines-Urias E, Ohuma EO, Salomon LJ, Victora CG, Barros FC, Lambert A, Carvalho M, Jaffer Y A, Noble JA, Gravett MG, Purwar M, Pang R, Bertino E, Munim S, Min AM, McGready R, Norris SA, Bhutta ZA, Kennedy SH, Papageorghiou AT, Ourmazd A","","Has overall documentation but poorly commented Matlab code on GitHub.","","github.com/ki-analysis/manifold-ga","","Unspecified location on large website requiring registration.","10.1016/S2589-7500(20)30131-X","","","","","1","","1","","1","","","","","","","","","","1","Lancet Digital Health","7","7","ref-29","Achieving accurate estimates of fetal gestational age and personalised predictions of fetal growth based on data from an international prospective cohort study: a population-based machine learning study","2","2020"
"24 July 2020","26 January 2021","Sabanayagam C, Xu D, Ting DSW, Nusinovici S, Banu R, Hamzah H, Lim C, Tham Y-C, Cheung CY, Tai ES, Wang XY, Jonas JB,  Cheng C-Y, Lee ML, Hsu W, Wong TY","","Despite the paper being a ``deep learning algorithm'' the code is not available.","","","","Available to researchers who meet criteria for access to confidential data.","10.1016/S2589-7500(20)30063-7","","","","","","","","","","","","1","","","","","","","","Lancet Digital Health","7","7","ref-30","A deep learning algorithm to detect chronic kidney disease from retinal photographs in community-based populations","2","2020"
"24 July 2020","27 January 2021","Monteiro M, Newcombe VF, Mathieu F, Adatia K, Kamnitsas K, Ferrante E, Das T, Whitehouse D, Rueckert D, Menon DK, Glocker B","","Almost completely uncommented Python, but does have a basic setup script.","","github.com/biomedia-mira/blast-ct","1","Data access conditional on approved study proposal.","10.1016/S2589-7500(20)30085-6","","","","","1","","","","1","","","","1","","","","","","","Lancet Digital Health","7","8","ref-31","Multiclass semantic segmentation and quantification of traumatic brain injury lesions on head CT using deep learning: an algorithm development and multicentre validation study","2","2020"
"24 July 2020","27 January 2021","Liu K-L, Wu T, Chen P-T, Tsai Y M, Roth H, Wu M-S, Liao W-C, Wang W","","Python used and apparently on GitHub, but --- an oversight? --- no code is available.","","","","Unspecified locations on several large websites.","10.1016/S2589-7500(20)30078-9","","","","","","","","","","","","1","","","","","","","","Lancet Digital Health","7","10","ref-32","Deep learning to distinguish pancreatic cancer tissue from non-cancerous pancreatic tissue: a retrospective study with cross-racial external validation","2","2020"
